Scenario,Year,Policy Goal,Target,Metric,Target_v,Metric_v,Country
Business-as-usual outlook,2010,Diets,T_D_FBIS,M_D_FBIS,1,-1,CZE
Business-as-usual outlook,2010,Diets,T_D_NBIS,M_D_NBIS,1,-1,CZE
Business-as-usual outlook,2010,Diets,T_D_ENBA,M_D_ENBA,1,-1,CZE
Business-as-usual outlook,2010,Diets,T_D_DUM,M_D_DUM,1,-1,CZE
Business-as-usual outlook,2010,Equity,T_E_FOF,M_E_FOF,1,-1,CZE
Business-as-usual outlook,2010,Equity,T_E_CSO,M_E_CSO,1,-1,CZE
Business-as-usual outlook,2010,Equity,T_E_CSC,M_E_CSC,1,-1,CZE
Business-as-usual outlook,2010,Equity,T_E_PCA,M_E_PCA,1,-1,CZE
Business-as-usual outlook,2010,Compet,T_C_EPP,M_C_EPP,1,0.303901484,CZE
Business-as-usual outlook,2010,Compet,T_C_OST,M_C_OST,1,0.447614044,CZE
Business-as-usual outlook,2010,Compet,T_C_RPT,M_C_RPT,1,0.475960329,CZE
Business-as-usual outlook,2010,Compet,T_C_DUM,M_C_DUM,1,0.927757442,CZE
Business-as-usual outlook,2010,Envir,T_EV_CS,M_EV_CS,1,0.059980543,CZE
Business-as-usual outlook,2010,Envir,T_EV_CW,M_EV_CW,1,0.283187656,CZE
Business-as-usual outlook,2010,Envir,T_EV_BC,M_EV_BC,1,0.024255785,CZE
Business-as-usual outlook,2010,Envir,T_EV_PNR,M_EV_PNR,1,-1,CZE
Business-as-usual outlook,2010,Diets,T_D_FBIS,M_D_FBIS,1,-1,DNK
Business-as-usual outlook,2010,Diets,T_D_NBIS,M_D_NBIS,1,-1,DNK
Business-as-usual outlook,2010,Diets,T_D_ENBA,M_D_ENBA,1,-1,DNK
Business-as-usual outlook,2010,Diets,T_D_DUM,M_D_DUM,1,-1,DNK
Business-as-usual outlook,2010,Equity,T_E_FOF,M_E_FOF,1,-1,DNK
Business-as-usual outlook,2010,Equity,T_E_CSO,M_E_CSO,1,-1,DNK
Business-as-usual outlook,2010,Equity,T_E_CSC,M_E_CSC,1,-1,DNK
Business-as-usual outlook,2010,Equity,T_E_PCA,M_E_PCA,1,-1,DNK
Business-as-usual outlook,2010,Compet,T_C_EPP,M_C_EPP,1,0.274212946,DNK
Business-as-usual outlook,2010,Compet,T_C_OST,M_C_OST,1,0.508057565,DNK
Business-as-usual outlook,2010,Compet,T_C_RPT,M_C_RPT,1,0.300130084,DNK
Business-as-usual outlook,2010,Compet,T_C_DUM,M_C_DUM,1,0.93572998,DNK
Business-as-usual outlook,2010,Envir,T_EV_CS,M_EV_CS,1,0.108996629,DNK
Business-as-usual outlook,2010,Envir,T_EV_CW,M_EV_CW,1,0.325740812,DNK
Business-as-usual outlook,2010,Envir,T_EV_BC,M_EV_BC,1,0.02142215,DNK
Business-as-usual outlook,2010,Envir,T_EV_PNR,M_EV_PNR,1,-1,DNK
Business-as-usual outlook,2010,Diets,T_D_FBIS,M_D_FBIS,1,-1,FRA
Business-as-usual outlook,2010,Diets,T_D_NBIS,M_D_NBIS,1,-1,FRA
Business-as-usual outlook,2010,Diets,T_D_ENBA,M_D_ENBA,1,-1,FRA
Business-as-usual outlook,2010,Diets,T_D_DUM,M_D_DUM,1,-1,FRA
Business-as-usual outlook,2010,Equity,T_E_FOF,M_E_FOF,1,-1,FRA
Business-as-usual outlook,2010,Equity,T_E_CSO,M_E_CSO,1,-1,FRA
Business-as-usual outlook,2010,Equity,T_E_CSC,M_E_CSC,1,-1,FRA
Business-as-usual outlook,2010,Equity,T_E_PCA,M_E_PCA,1,-1,FRA
Business-as-usual outlook,2010,Compet,T_C_EPP,M_C_EPP,1,0.344890366,FRA
Business-as-usual outlook,2010,Compet,T_C_OST,M_C_OST,1,0.527362496,FRA
Business-as-usual outlook,2010,Compet,T_C_RPT,M_C_RPT,1,0.462266728,FRA
Business-as-usual outlook,2010,Compet,T_C_DUM,M_C_DUM,1,0.934963882,FRA
Business-as-usual outlook,2010,Envir,T_EV_CS,M_EV_CS,1,0.74073331,FRA
Business-as-usual outlook,2010,Envir,T_EV_CW,M_EV_CW,1,1,FRA
Business-as-usual outlook,2010,Envir,T_EV_BC,M_EV_BC,1,0.025249994,FRA
Business-as-usual outlook,2010,Envir,T_EV_PNR,M_EV_PNR,1,-1,FRA
Business-as-usual outlook,2010,Diets,T_D_FBIS,M_D_FBIS,1,-1,ITA
Business-as-usual outlook,2010,Diets,T_D_NBIS,M_D_NBIS,1,-1,ITA
Business-as-usual outlook,2010,Diets,T_D_ENBA,M_D_ENBA,1,-1,ITA
Business-as-usual outlook,2010,Diets,T_D_DUM,M_D_DUM,1,-1,ITA
Business-as-usual outlook,2010,Equity,T_E_FOF,M_E_FOF,1,-1,ITA
Business-as-usual outlook,2010,Equity,T_E_CSO,M_E_CSO,1,-1,ITA
Business-as-usual outlook,2010,Equity,T_E_CSC,M_E_CSC,1,-1,ITA
Business-as-usual outlook,2010,Equity,T_E_PCA,M_E_PCA,1,-1,ITA
Business-as-usual outlook,2010,Compet,T_C_EPP,M_C_EPP,1,0.410039465,ITA
Business-as-usual outlook,2010,Compet,T_C_OST,M_C_OST,1,0.606130153,ITA
Business-as-usual outlook,2010,Compet,T_C_RPT,M_C_RPT,1,0.594772399,ITA
Business-as-usual outlook,2010,Compet,T_C_DUM,M_C_DUM,1,0.963294089,ITA
Business-as-usual outlook,2010,Envir,T_EV_CS,M_EV_CS,1,0.29124382,ITA
Business-as-usual outlook,2010,Envir,T_EV_CW,M_EV_CW,1,1,ITA
Business-as-usual outlook,2010,Envir,T_EV_BC,M_EV_BC,1,0.027540594,ITA
Business-as-usual outlook,2010,Envir,T_EV_PNR,M_EV_PNR,1,-1,ITA
Business-as-usual outlook,2020,Diets,T_D_FBIS,M_D_FBIS,1,1.123420914,CZE
Business-as-usual outlook,2020,Diets,T_D_NBIS,M_D_NBIS,1,1.078052368,CZE
Business-as-usual outlook,2020,Diets,T_D_ENBA,M_D_ENBA,1,-1,CZE
Business-as-usual outlook,2020,Diets,T_D_DUM,M_D_DUM,1,-1,CZE
Business-as-usual outlook,2020,Equity,T_E_FOF,M_E_FOF,1,-1,CZE
Business-as-usual outlook,2020,Equity,T_E_CSO,M_E_CSO,1,-1,CZE
Business-as-usual outlook,2020,Equity,T_E_CSC,M_E_CSC,1,-1,CZE
Business-as-usual outlook,2020,Equity,T_E_PCA,M_E_PCA,1,-1,CZE
Business-as-usual outlook,2020,Compet,T_C_EPP,M_C_EPP,1,0.303901484,CZE
Business-as-usual outlook,2020,Compet,T_C_OST,M_C_OST,1,0.447614044,CZE
Business-as-usual outlook,2020,Compet,T_C_RPT,M_C_RPT,1,0.475960329,CZE
Business-as-usual outlook,2020,Compet,T_C_DUM,M_C_DUM,1,0.927757442,CZE
Business-as-usual outlook,2020,Envir,T_EV_CS,M_EV_CS,1,-1,CZE
Business-as-usual outlook,2020,Envir,T_EV_CW,M_EV_CW,1,-1,CZE
Business-as-usual outlook,2020,Envir,T_EV_BC,M_EV_BC,1,-1,CZE
Business-as-usual outlook,2020,Envir,T_EV_PNR,M_EV_PNR,1,-1,CZE
Business-as-usual outlook,2020,Diets,T_D_FBIS,M_D_FBIS,1,1.395467345,DNK
Business-as-usual outlook,2020,Diets,T_D_NBIS,M_D_NBIS,1,1.214778404,DNK
Business-as-usual outlook,2020,Diets,T_D_ENBA,M_D_ENBA,1,-1,DNK
Business-as-usual outlook,2020,Diets,T_D_DUM,M_D_DUM,1,-1,DNK
Business-as-usual outlook,2020,Equity,T_E_FOF,M_E_FOF,1,-1,DNK
Business-as-usual outlook,2020,Equity,T_E_CSO,M_E_CSO,1,-1,DNK
