Scenario	Year	Policy Goal	Target	Metric	Target_v	Metric_v	Country
REF-	2010	Diet	T_D_FBIS	M_D_FBIS	1	0	CZE
REF-	2010	Diet	T_D_NBIS	M_D_NBIS	1	0	CZE
REF-	2010	Diet	T_D_ENBA	M_D_ENBA	1	-1	CZE
REF-	2010	Diet	T_D_DUM	M_D_DUM	1	-1	CZE
REF-	2010	Equity	T_E_FOF	M_E_FOF	1	-1	CZE
REF-	2010	Equity	T_E_CSO	M_E_CSO	1	-1	CZE
REF-	2010	Equity	T_E_CSC	M_E_CSC	1	-1	CZE
REF-	2010	Equity	T_E_PCA	M_E_PCA	1	-1	CZE
REF-	2010	Compet	T_C_VD	M_C_VD	1	0.163602865	CZE
REF-	2010	Compet	T_C_JW	M_C_JW	1	0.451080084	CZE
REF-	2010	Compet	T_C_PRD	M_C_PRD	1	0.452579215	CZE
REF-	2010	Compet	T_C_TRP	M_C_TRP	1	0.927483916	CZE
REF-	2010	Envir	T_EV_CS	M_EV_CS	1	0	CZE
REF-	2010	Envir	T_EV_CW	M_EV_CW	1	0	CZE
REF-	2010	Envir	T_EV_BC	M_EV_BC	1	0	CZE
REF-	2010	Envir	T_EV_PNR	M_EV_PNR	1	-1	CZE
REF-	2010	Diet	T_D_FBIS	M_D_FBIS	1	0	DNK
REF-	2010	Diet	T_D_NBIS	M_D_NBIS	1	0	DNK
REF-	2010	Diet	T_D_ENBA	M_D_ENBA	1	-1	DNK
REF-	2010	Diet	T_D_DUM	M_D_DUM	1	-1	DNK
REF-	2010	Equity	T_E_FOF	M_E_FOF	1	-1	DNK
REF-	2010	Equity	T_E_CSO	M_E_CSO	1	-1	DNK
REF-	2010	Equity	T_E_CSC	M_E_CSC	1	-1	DNK
REF-	2010	Equity	T_E_PCA	M_E_PCA	1	-1	DNK
REF-	2010	Compet	T_C_VD	M_C_VD	1	0.12759881	DNK
REF-	2010	Compet	T_C_JW	M_C_JW	1	0.481001377	DNK
REF-	2010	Compet	T_C_PRD	M_C_PRD	1	0.290154293	DNK
REF-	2010	Compet	T_C_TRP	M_C_TRP	1	0.93562901	DNK
